[2025-11-24 10:20:52] 🧱 已新增欄位 articles.pua_status
[2025-11-24 10:20:52] 🧱 已新增欄位 articles.pua_status_reason
[2025-11-24 10:20:52] ✅ 確認資料表 eb_evaluation 已存在
[2025-11-24 10:20:52] 🔎 欄位 main_strategy_detail 已存在，略過
[2025-11-24 10:20:52] 📘 共讀取 10 筆文章待分析（上限 10）
[2025-11-24 10:20:56] ❌ ERROR 第 1/10 筆 | ConnectionError: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /api/v1/chat/complet | link_id=68f87edcaf1137700cb26e94 | article_id=68fce9b6af1137205015fd06 | status=error
[2025-11-24 10:21:00] ❌ ERROR 第 2/10 筆 | ConnectionError: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /api/v1/chat/complet | link_id=68f87edcaf1137700cb26e95 | article_id=68fce9f3af11377624f11eda | status=error
[2025-11-24 10:21:04] ❌ ERROR 第 3/10 筆 | ConnectionError: HTTPConnectionPool(host='localhost', port=3000): Max retries exceeded with url: /api/v1/chat/complet | link_id=68f87edcaf1137700cb26e96 | article_id=68fcea01af11377624f11edb | status=error
[2025-11-24 11:55:45] 🔎 欄位 pua_status 已存在，略過
[2025-11-24 11:55:45] 🔎 欄位 pua_status_reason 已存在，略過
[2025-11-24 11:55:45] ✅ 確認資料表 eb_evaluation 已存在
[2025-11-24 11:55:45] 🔎 欄位 main_strategy_detail 已存在，略過
[2025-11-24 11:55:45] 📘 共讀取 10 筆文章待分析（上限 10）
[2025-11-24 11:55:55] ✅ DONE 第 1/10 筆 | overall=3.6 | main=emotion | detail=使用自我批判和過去的錯誤來觸發自己的愧疚和情緒低落，並強調需要每天寫日記以來擊破這些情緒 | link_id=68f87edcaf1137700cb26e98 | article_id=68fcea15af11377624f11edc | status=done
[2025-11-24 11:55:58] ✅ DONE 第 2/10 筆 | overall=1 | main=none | detail=無情緒勒索 | link_id=68f87edcaf1137700cb26e9c | article_id=68fcea6eaf11379f9c929394 | status=done
[2025-11-24 11:56:00] ✅ DONE 第 3/10 筆 | overall=4.2 | main=emotion | detail=使用情感勒索來控制女友，並讓女友對婚後的未來感到不安 | link_id=68f87edcaf1137700cb26e9d | article_id=68fcea81af11379f9c929395 | status=done
[2025-11-24 11:56:03] ✅ DONE 第 4/10 筆 | overall=3 | main=blame | detail=None | link_id=68f87ee9af1137951479fd17 | article_id=68fcea94af11379f9c929396 | status=done
[2025-11-24 11:56:05] ✅ DONE 第 5/10 筆 | overall=1 | main=emotion | detail=以表達自身力量和重要性為主的情緒操作 | link_id=68f87ee9af1137951479fd18 | article_id=68fceaa7af11379f9c929397 | status=done
[2025-11-24 11:56:08] ✅ DONE 第 6/10 筆 | overall=4 | main=emotion | detail=使用情感彈性以提高義務感和慓罪感，並使用疑惑和責任感讓對象感到愧疚 | link_id=68f87f24af1137ac3c6f9d7b | article_id=68fceabaaf11379f9c929398 | status=done
[2025-11-24 11:56:10] ✅ DONE 第 7/10 筆 | overall=0 | main=none | detail= | link_id=68f87f24af1137ac3c6f9d7d | article_id=68fceae1af11379f9c929399 | status=done
[2025-11-24 11:56:13] ✅ DONE 第 8/10 筆 | overall=3.6 | main=emotion | detail=使用情緒勒索的旁白，以自己為主體表達對於情緒勒索感到不舒服 | link_id=68f87f24af1137ac3c6f9d7e | article_id=68fceaf4af11379f9c92939a | status=done
[2025-11-24 11:56:16] ✅ DONE 第 9/10 筆 | overall=4 | main=emotion | detail=以自私、負罪感、心累等情感方式勒索 | link_id=68f87f24af1137ac3c6f9d83 | article_id=68fceb90af11379f9c92939b | status=done
[2025-11-24 11:56:18] ✅ DONE 第 10/10 筆 | overall=3.5 | main=emotion | detail=使用情緒操控和負罪感來影響子女的行為，並危害他們的心理健康 | link_id=68f87f24af1137ac3c6f9d85 | article_id=68fcebb5af11379f9c92939c | status=done
[2025-11-24 11:56:18] 🎉 全部完成！
